,gene_symbol,DE,adj_pval_DE,SD_ratio,LFC,DV,adj_pval_DV,DS,adj_pval_DS,de_bs,dv_bs,ds_bs
ENSG00000273654,AC020904.2,0.182284002,1,0.70131316,-0.511869294,-0.254737422,0.128043284,-0.825207009,1,0,0,0
ENSG00000167968,DNASE1L2,-0.125797004,1,0.991371848,-0.012501804,-0.00461868,1,-0.825148551,1,0,0,0
ENSG00000272368,AC074032.1,-0.077889693,1,0.624475536,-0.67928304,-0.198736694,0.01354475,-0.825125292,1,0,0,0
ENSG00000275484,AP003419.3,-0.081377551,1,0.916987651,-0.12502579,-0.085201415,1,-0.824977556,3.02E-08,0,0,1
ENSG00000187513,GJA4,0.448894191,0.007196231,0.809692948,-0.304553182,-0.153212978,1,-0.824940962,1,1,0,0
ENSG00000175898,ENSG00000175898,-0.162415232,0.272797754,0.682739524,-0.550592822,-0.144454894,0.08287068,-0.824903908,1,0,0,0
ENSG00000112761,WISP3,-0.194049793,0.092901724,0.558602527,-0.840105995,-0.218907589,0.000849254,-0.824232696,0.645861124,0,1,0
ENSG00000256116,AP001453.1,-0.011355234,1,0.9038853,-0.145788383,-0.052829985,1,-0.823980284,0.446100402,0,0,0
ENSG00000139636,LMBR1L,-0.171185405,6.44E-06,0.655702396,-0.608886927,-0.079038559,0.031815734,-0.823856819,0.761757709,1,0,0
ENSG00000129250,KIF1C,-0.133861217,1,0.587472921,-0.767405742,-0.343834595,0.003408,-0.823802797,1,0,1,0
ENSG00000127415,IDUA,-0.204739026,0.001806682,0.792672525,-0.335203124,-0.069715248,0.964254305,-0.823654817,0.414801907,1,0,0
ENSG00000161653,NAGS,0.32505883,0.004450237,0.955691038,-0.065383806,-0.0231993,1,-0.823450026,1,1,0,0
ENSG00000146263,MMS22L,0.050931478,1,0.657622764,-0.604667855,-0.100834834,0.041817537,-0.823423568,0.392648479,0,0,0
ENSG00000124588,NQO2,-0.066568242,1,0.829584956,-0.269538363,-0.065736527,1,-0.823416348,0.648524232,0,0,0
ENSG00000196668,LINC00173,-0.300407432,0.006125758,0.927836143,-0.10805805,-0.036231118,1,-0.823313796,0.438006278,1,0,0
ENSG00000204257,HLA-DMA,-0.087521591,1,0.803385123,-0.315836349,-0.09572151,1,-0.823197778,1,0,0,0
ENSG00000144504,ANKMY1,-0.176709784,0.001118736,0.887675423,-0.171895842,-0.03027436,1,-0.823181306,1,1,0,0
ENSG00000230124,ACBD6,-0.095890906,0.000760065,0.622655423,-0.683494098,-0.061339625,0.013267906,-0.822917926,0.323220748,0,0,0
