ZNF266,GIPR,WDR45,PGBD2,MRPL47,RTN1,DEPDC4,RIMKLB,CACYBP,PRPF4,EEF2KMT,AC011477.1,SF3A3,LINC00923,AC145124.1,ABCD3,TAPBPL,FHOD1,HTRA2,TUBB,GPX3,SIAH2,AL356488.2,TMEM63C,MUC4,MAPT,CFAP20,ATP1A1,ZNF788,ZNF605,CASC2,AL133230.1,NISCH,CTXND1,PREB,CNBD2,EAPP,RAB5C,C2orf16,ZNF718,PLK3,PAX8,ZNF350.AS1,STRA6,HIST1H1E,ACOT7,TRIM2,TST,NLE1,ADAMTS15,COPS2,RNF26,RET,RRS1,SRCAP,SPRY4,AC127070.4,PDE1B,EBAG9,AC011503.2,label
0.592985714,-2.569176749,1.138444887,-1.289745533,0.536500112,4.321899668,-2.77889728,1.666886321,2.338297811,0.430601383,-1.417920726,-3.346881317,0.95479619,-3.089052208,-3.184362388,1.201407233,-0.814118646,-0.253168635,0.624519859,3.346150742,0.529209679,0.33461803,-2.491215207,1.317112562,-2.714358758,3.872846844,0.946796148,3.730964157,-1.507265827,0.994629649,-0.615574254,-2.596575723,2.926883198,1.08253394,1.064846885,-3.184362388,0.732648159,1.947605192,-1.990439919,-0.510213738,-0.737676951,-1.143142059,-1.605383683,-2.596575723,-3.346881317,2.302300025,3.302103233,-0.008394064,0.289155656,-2.466522595,1.546117989,0.618961201,-0.548882879,-0.13983995,2.047013573,0.485589057,-2.154742971,2.100363025,0.599827246,-3.47204446,control
0.612401244,-1.550654438,0.934252212,-0.99436644,0.442304128,3.901730549,-3.009269461,1.663091975,1.998361325,0.354572135,-1.661196312,-3.520095084,1.077546835,-3.114629976,-2.421482796,1.414378849,-0.597829963,-0.294574717,0.517091064,2.785723894,1.021425075,0.170865536,-3.114629976,0.986175153,-2.291429667,3.620093793,0.604347509,3.57365555,-1.286502863,1.053756418,-0.653143601,-2.913959281,2.514788083,0.531689863,0.949637131,-2.637705904,0.670821488,2.198302293,-2.31612228,-0.887007922,-0.611374188,-1.622975099,-2.176360338,-3.702416641,-3.296951533,1.604364804,3.334435211,0.592143968,0.049437612,-2.637705904,1.510887351,0.494785307,-0.452042149,0.04000358,2.026383597,0.673340381,-2.016017688,1.705651589,0.656853006,-2.786125909,control
0.447597845,-1.737204213,0.907608529,-1.257150247,0.687866646,4.43441203,-2.776976001,1.509168862,2.530725765,0.460020365,-1.64097618,-3.441952305,1.209359037,-2.694737903,-2.440503765,1.459198756,-0.65557026,-0.557772517,0.472290457,3.150863893,0.94561451,0.515681212,-3.767374705,1.005914087,-3.287801625,3.923509076,0.885119369,4.085243811,-1.504010325,1.261553782,-0.313730848,-3.287801625,2.926806473,0.452133,0.919729889,-3.624273862,0.862863257,1.823325208,-1.821464556,-0.843386337,-1.257150247,-1.570150128,-2.548134429,-2.748805124,-2.835816501,2.256817628,3.82619323,-0.66244314,0.259349669,-2.72140615,1.913322838,0.733289301,-0.121723986,-0.275540049,1.924542786,0.379416332,-2.271881052,1.974641803,0.679791232,-4.135099485,control
0.600671488,-0.692096815,1.265518501,-0.990828724,0.517355455,2.770543642,-2.638006964,1.627917913,2.18938327,0.380539987,-1.489384255,-3.331154145,0.991449069,-3.188053301,-3.062890158,1.591630259,-0.106143331,-0.394845292,0.562234781,2.411602464,1.012651277,0.294211904,-1.290933316,0.79598024,-2.494906121,3.305095212,0.593101429,2.795715039,-0.839857697,1.374905036,-0.192321028,-2.528807672,2.61808518,1.239583845,0.951901772,-3.188053301,0.573146815,2.062473402,-2.312584564,-0.670356828,-1.100312957,-1.271130689,-3.188053301,-2.718049672,-2.638006964,0.642036322,3.488694252,0.7010422,-0.243614322,-3.062890158,1.568979234,0.228579889,-1.290933316,-0.286631707,2.366713435,0.929356534,-1.70644876,0.787257444,0.267211302,-4.104344033,control
0.248775674,-1.984469747,1.035244491,-0.998797869,0.667677677,4.25146276,-3.063850674,1.251730862,2.473033548,0.432656888,-1.751664285,-3.063850674,1.297973254,-2.687373102,-2.835009101,1.595266426,-0.841546412,-0.692272709,0.597510752,3.07387638,0.89341881,0.543198762,-2.593847044,1.150602261,-2.835009101,3.807536961,1.045147897,4.033059902,-1.519332307,0.974175458,-0.505516555,-3.528156282,2.752154433,0.450675393,1.024763214,-3.251902905,0.937751837,2.034097539,-2.119389065,-0.928839281,-1.097737817,-1.501204923,-2.176547479,-5.232904374,-3.623466462,2.095040409,3.807359168,0.071643542,0.207346488,-3.441144905,1.836757147,0.741541168,-0.095636429,-0.055343209,1.94925775,0.090105605,-2.648906822,1.940287369,0.627169345,-3.574676297,control
-0.133669527,-2.037220403,0.890958056,-1.120929671,0.513987327,4.142128159,-3.168622514,1.595685893,2.264444253,0.417670351,-1.328072881,-2.730367583,1.084149285,-2.797058958,-3.168622514,1.448476243,-0.683715864,-0.399163685,0.402317642,3.242210046,0.224206618,0.208965002,-2.763157406,0.926555034,-3.96713021,3.688313043,0.849560687,3.645041842,-1.393670163,1.138141636,-0.467261301,-3.219915808,2.527631694,1.199558714,0.938144568,-2.868517922,0.720131864,2.041682975,-1.989967518,-0.971397937,-0.85608709,-3.331141444,-2.832150277,-3.27398303,-2.945478963,1.967763985,3.586797104,0.005255945,-0.005259399,-2.763157406,1.656084728,0.565469283,-0.450621982,-0.084421592,2.057930286,0.73132791,-2.314207186,1.773019909,0.599530121,-3.27398303,control
0.460039162,-0.822613951,1.317972639,-1.055763145,0.46980725,3.797793537,-3.352777193,1.301712118,2.744297839,0.273044125,-1.618176137,-3.678199593,1.009613467,-3.198626513,-4.045924373,0.942238065,-1.330494065,-0.105421897,0.537908675,2.881633533,0.4122914,0.894924083,-2.038456331,1.175031872,-1.765812136,3.832315167,0.662604326,3.209666901,-0.787827835,1.578093133,-0.89604142,-2.910944441,3.161194483,0.830967865,1.146415003,-2.809161746,0.638262353,1.74199498,-3.107654735,-0.910430158,-0.944831584,-6.243148951,-2.038456331,-3.107654735,-3.024273126,2.104204461,2.987876012,-0.081941629,0.277472177,-3.678199593,1.527918135,0.458811415,-1.017402277,0.184956322,2.209399047,0.690274075,-2.084265867,2.217262227,0.545822792,-3.107654735,control
0.681885357,-0.590406691,0.977788263,-0.854793201,0.446879271,3.524213528,-3.511550108,1.275941635,2.034847296,0.226119511,-1.556751011,-2.728790768,1.048230376,-2.988301964,-3.288406556,1.32918615,-0.696890171,-0.824553316,0.52600362,2.724085358,0.35704334,0.368724199,-1.424326426,1.107276405,-2.570566763,3.716112391,0.831443296,3.595772986,-1.521964895,1.301649992,-0.762677912,-2.916843,2.814487552,-0.055627826,1.023733951,-2.95193432,0.571269969,1.855009849,-2.64655267,-0.859188812,-0.985821463,-1.699171351,-3.511550108,-4.086914253,-2.673220917,1.59174033,3.64247914,0.442094572,-0.04776924,-3.393767072,1.64318553,0.675259682,-0.378776982,0.011127172,2.397211948,-0.001872083,-1.806802015,1.631939266,0.412895418,-2.700619891,control
0.78728933,-0.317236636,1.077032956,-1.433802728,0.298237506,3.984179959,-3.470684656,1.45777603,2.29581176,0.288575595,-1.489683187,-2.777537475,0.923764499,-2.554393924,-3.122377961,1.374158384,-1.03561038,-0.521869302,0.493298089,3.06213472,0.969021091,0.579649966,-2.959859032,1.179299546,-2.588295476,3.925906229,0.699849045,3.622027593,-1.412296523,1.119371892,-0.779441573,-1.912540038,3.124070743,-0.103388826,0.956155995,-2.911068868,0.70754139,1.694577395,-2.292029659,-1.088056855,-0.543945254,-3.011152326,-3.390641948,-4.163831836,-3.065219548,2.122166258,3.730486228,0.553177831,-0.039389243,-2.864548852,1.635765741,1.051103921,-0.190400203,-0.150456337,2.531967081,-0.02866528,-1.489683187,1.982854246,0.466030962,-2.459083744,control
1.015398649,-2.729894895,1.155344027,-1.025146802,0.577776429,4.259901095,-3.017576967,1.501620264,2.35659854,0.439190266,-1.562289734,-3.497150047,1.139816913,-2.6281122,-2.6281122,0.991486322,-1.064887131,-0.187168674,0.572533953,3.28137228,1.187115652,0.576468384,-2.506751343,1.428429997,-3.066367131,3.869975605,0.902036208,3.814941498,-1.631282606,1.179982954,-0.331999622,-2.694803575,3.032717876,0.307801578,0.970524856,-2.565591843,1.012017411,1.799627673,-1.692651552,-0.869142554,-1.031661483,-0.93220069,-2.073115358,-2.596363502,-2.926605189,2.454693707,3.181095304,0.079938001,0.281781029,-3.228886061,1.557134011,0.740295359,-0.033820885,0.212662616,2.041394874,0.013246626,-2.05476622,2.347953911,0.746939901,-2.884045574,control
