CRH,SST,NPAS4,LINC01299,AP003393.1,HBA2,AL162511.1,AC020909.2,PNOC,KRT5,C7,FCGR3B,FMOD,SCARA5,STEAP4,SLPI,CD177,SERPINA5,S100A12,OGN,FOXG1,KCNK15,ARX,ZNF699,GP1BB,HRH1,AP002893.1,BUD13P1,LARS2,PELP1,SLC13A4,PRDM6,FAM20A,DSP,PHLDB2,GAS1,LTBP2,C2orf40,SLC47A1,ANKS6,CMTM3,DNM2,TRABD,TTC7A,AC068888.1,HDAC7,AL133243.2,NCF4,CATSPERG,PCDHA6,EFR3B,ARMT1,MTMR7,NDFIP1,UGCG,CALM1,SATB1,MOAP1,TRAPPC6B,label
-1.25970876875701,-0.0547160765303332,-3.13662604632538,-1.04065520269433,-1.34486657709732,-1.249556397293,-2.8489439738736,-2.8489439738736,-2.06048661350933,-2.2070900877012,-2.26115730897148,-3.27972688996605,-2.13110418072328,-3.20561891781233,-3.76523470574775,-4.05291677819953,-5.84467624742759,-3.76523470574775,-5.15152906686764,-2.80015380970416,1.50455457718575,-0.446513545909834,-0.235204452242627,-1.70154152103605,1.44288439288214,0.226061480574903,-0.732688459071043,-3.27972688996605,1.2462335746524,1.64193706571237,-2.18111460129794,-2.95430448953142,-2.54883938142326,-1.09974411906434,-0.478700232405735,-0.969478924226435,-1.02439468182255,-2.18111460129794,-1.5542168062792,0.823552000989817,-0.502341995462776,1.96202012509359,0.45058975401206,0.704974494806224,0.662601464957425,1.32236162948463,-1.59618100537823,-2.62580042255939,-1.71754186238249,-2.70918203149844,2.45386329794729,0.435719591532608,0.558897950507228,3.33034777942103,0.607372707009639,4.88392928620238,2.28773642707332,2.41141188638732,1.32851549505901,control
-0.583143949732342,1.74453351600131,-3.24709883096933,-1.14583824189485,-1.90592490512991,-0.792045144331009,-1.92142909166587,-2.14848654230122,-0.608041501354069,-1.72360334833595,-3.88308759768932,-4.69401781390565,-3.30772345278576,-2.05496048429039,-4.98169988635743,-3.03578973730212,-4.00087063334571,-5.3871649944656,-6.77345935558549,-3.44125484541029,1.75803114053157,-0.00726764092513932,0.653089716811815,-2.82221563700406,2.3750056126726,0.173516636549929,0.211256964532776,-4.13440202597023,0.476466181132498,2.01893838677142,-1.71086432255852,-3.1358731958591,-3.08457990147155,-0.752436006235963,-1.51596398355771,-0.854565501312343,-0.887355324135334,-2.46939426238132,-1.2845216294288,0.717628237949386,-1.02406636967724,1.55788606926023,0.685879539634806,0.530383869692215,0.181179509295498,0.885712012080568,-2.03726090719099,-1.63766091853523,-1.526435283425,-3.7777270820315,2.52030262452976,0.751641390540311,0.483543351506583,3.77024917170118,1.21270550474724,5.40543734643893,2.24159579320488,2.92876843913643,2.18069761099828,control
-1.64749516810388,0.860441728958818,-3.18436238770315,-2.17276147602467,-1.3598130956521,-0.654641722125354,-3.00204083090919,-3.13557222353371,-1.57492447526905,-2.62474659976772,-3.40750593901736,-3.18436238770315,-3.18436238770315,-2.32994705954708,-4.38833519202908,-3.78219938845877,-5.48694748069719,-3.34688131720092,-4.38833519202908,-4.38833519202908,1.79546999723806,-0.67070632462916,0.203411973626868,-1.72574736500363,1.64114742226642,0.286050062980482,-0.5346477636139,-2.81279883127066,0.816586826919401,1.66532137533535,-2.26807165582899,-2.46652259455283,-2.62474659976772,-1.39260291847509,-1.21028136168114,-0.992708855416383,-0.896890932519149,-2.06922079708383,-1.35178092395484,0.565141688227225,-0.712034520122006,1.77322368530329,0.625627892159848,0.699261143203302,-0.0231156756715825,1.05840217963723,-2.13704339342259,-2.11965165071072,-1.57492447526905,-1.91741478421582,2.41941557264831,0.571006807679622,0.880381704742663,3.66867267907876,1.06270326153662,5.23923415497551,2.34625646794387,2.70838618646568,1.82527240605953,control
-1.48321315705017,-0.118897702649059,-1.9274642901935,-0.905135306275016,-0.968049131685586,-0.857507257285762,-2.57101452961407,-2.4496536726098,-2.03470982054709,-2.31612227998528,-1.38002892081494,-2.34144008796957,-1.38002892081494,-3.06056275493277,-3.807777156763,-3.36594440448396,-4.90638944543111,-5.31185455353927,-4.90638944543111,-1.99766854886674,1.49442155649301,-0.625104380558756,-0.335120811118696,-1.64829290740962,1.78320982374786,-0.773893117244628,-1.11465260587746,-3.23241301185943,0.912703875736089,1.63560209229442,-1.84611865073954,-2.24380161840565,-2.70916486809489,-0.869203297048953,0.00381145134337935,-0.691795755057428,-0.80099504702242,-2.31612227998528,-1.00105542815376,0.85356330069215,-0.483540816236969,2.05142503342377,0.29761724164569,0.867126367239771,0.560263235936146,1.41916354694281,-1.7423218570579,-1.9274642901935,-1.53909361544463,-3.36594440448396,2.14112777592619,0.528787103834128,0.500782326029014,3.35771631829785,0.629631623762471,4.83259682188098,1.98523645162115,2.20973409928309,1.54723555346159,control
-1.37649700509452,0.487692301978347,-4.25288252101595,-1.28246805544625,-2.18918933630425,-1.074828690668,-2.61875199599147,-2.61875199599147,-1.26972902966882,-1.73720421256119,-1.2263785887952,-2.6947379029694,-1.72715387670769,-1.50401032539348,-2.86658815989606,-4.02973896970174,-4.38641391364047,-3.15427023234784,-4.13509948535956,-2.61875199599147,1.57237985117796,-1.19066050619312,0.0341463850356556,-1.36251076311978,1.04230495252316,0.433867651964568,-1.12831737561899,-3.11344823782758,0.97822609583864,1.46865800856196,-2.15793679280015,-2.42030105726764,-2.25478661879006,-0.90737404521438,-0.628541588039582,-1.14493825685503,-0.839262619355234,-2.17344097933611,-1.48813697623719,0.375760021157287,-1.05932450413204,1.73482497721432,0.16445092749008,0.589334121455346,0.158399471806725,0.743484801282604,-2.06964418565447,-1.9502974280219,-1.9502974280219,-0.994785982994465,2.44059602993068,0.802566788870101,1.30442804974,3.86215258804962,1.28887110011406,5.45771785462144,2.70151776578923,3.06830603572353,2.14196162770918,control
-4.10434403296204,-2.11191386827183,-5.89610350219009,-1.11698000907856,-3.69887892485387,-0.130912399405248,-1.90711945562582,-1.80175893996799,-4.28666558975599,-4.5098091410702,-0.423832828518617,-1.85305223435554,-2.00428320407947,-2.95166452302365,-2.76060928626094,-3.69887892485387,-2.80506104883178,-2.11191386827183,-1.768969117145,-3.18805330108788,1.55629894903355,-0.686617349348671,-0.449366130523782,-1.40746713245795,1.08117783944066,0.11024965741164,-1.92581158863797,-2.85158106446667,1.12587292088207,1.44018215783121,-0.827199299969861,-1.90711945562582,-2.39959594072361,-0.445065048624392,-0.440782386832391,-0.50247595583773,-0.808507166957709,-2.23254185606045,-1.63342362514878,0.920632378404876,-0.17907580078387,2.23807076994781,0.758049017993127,1.17291992438817,1.04121057903359,1.48352865041946,-1.56537016190376,-1.55229808033641,-1.1599050537956,-2.34075544070068,2.13852753073301,0.47721628738692,0.144151209087322,2.71785335765845,0.306432014997831,4.56993837369698,1.84325570049901,1.6727921612169,1.03341326857356,control
-2.34253261606851,-0.420720018592259,-4.67328858602925,-0.0275250030759082,-2.21247948782031,-0.0738490747501466,-1.56295292973626,-1.29618875594616,-1.93706750796035,-2.30171062154826,-2.90562666838026,-3.36110219706308,-2.10833922856772,-3.03567979662846,-3.36110219706308,-4.13429208529657,-2.57614746725002,-3.40032291021637,-3.28699422490936,-3.21800135342241,1.46134823073993,-1.01339666878857,-0.179848363984468,-1.60856344098831,1.14126829412885,0.143530771847312,-1.63559211337623,-2.03423125641399,0.913960072370997,1.515268835193,-1.8656085439782,-2.46031565172489,-2.38509223048731,-1.26261246041255,-1.01339666878857,-0.590920214853869,-0.772759960026842,-1.91871836929215,-1.14273518315306,0.626456332509969,-0.697620315440751,2.04105529917232,0.20626130117074,0.865731548205095,0.648326692743606,0.845311099551961,-1.47753517858191,-1.91871836929215,-2.01402854909647,-1.37217466292408,1.89478932538272,0.921953720051742,1.03096996576043,3.55187021819634,1.11053659630048,5.23922949682114,2.46919996608637,2.9296118761755,1.69318186170218,control
-1.0829504226108,0.736375876449914,-3.33114144353904,-1.930248282998,-1.76990563292282,1.35262243700906,-2.7631574059331,-3.11983234987184,-1.72170353110494,-2.50079314146561,-2.69861888479553,-1.32016770113667,-2.47547533348132,-2.7631574059331,-2.94547896272706,-3.76645951479689,-4.21844463853995,-4.21844463853995,-3.07331233423694,-3.45630458649305,1.67949385055721,-0.700522982569648,-0.0418619780808722,-1.44585591630016,1.22335445148578,0.123503772566526,-1.21559489721709,-3.27398302969909,1.00730203517326,1.45684037521459,-1.86028969439109,-2.7631574059331,-2.05348092342195,-0.752708735740219,-0.573367807084402,-0.912081359548629,-0.743819788322972,-2.00547170423559,-1.31232452367564,0.573797707000699,-0.289424056743228,1.87092412354941,0.329399052256427,0.750376105123304,0.225885879470091,0.998042709760459,-1.67571841786312,-1.29682033713968,-1.76990563292282,-1.90167491055394,2.32608366651216,0.623490194714321,0.894403364923406,3.54833538966587,0.987130676309476,5.01552855119292,2.46455865343139,2.69798717592109,1.71493669748701,control
-2.03845633137558,-0.340515617365178,-6.24314895076654,-2.45895931684828,-3.15210649740823,0.528786605073058,-2.8091617462814,-2.03845633137558,-1.20619634835291,-2.91094444059134,-3.10765473483739,-3.53509874966433,-2.71678842615038,-2.25416490420227,-3.19862651304312,-2.13227508659323,-4.04592437343032,-2.55426949665261,-5.5500017702066,-2.20009768293199,1.88838175983771,0.283345908804246,0.173583331745782,-2.5795873046369,2.11317101506161,0.650507403836091,-0.145074668600304,-3.2987099716001,0.388852826629086,1.67657081015803,-1.34530915081563,-2.91094444059134,-2.03845633137558,-0.559569183427863,-1.30867501763585,-0.382362727300679,-0.526121249360322,-2.43648646099622,-1.19329294351701,0.896511385198376,-0.441030575389481,1.87981576446752,1.03616988464808,1.04441168954318,-0.379517775168448,1.50098767686145,-2.18270594022013,-1.05019209987633,-1.16174458578208,-3.35277719287038,2.3850487986926,0.697073518353094,0.055800296089398,3.18777169012068,0.9931903919878,5.11690501587481,2.11645432007492,2.32720578876393,1.59755750098286,control
-2.57056676317747,-1.32831177228052,-4.67470091744768,-0.159455438987574,-1.68901897974719,0.885980713567849,-1.12508353066725,-1.78432915955151,-2.57056676317747,-3.98155373688773,-3.0260422918603,-4.49237936065372,-3.0260422918603,-3.88624355708341,-3.98155373688773,-3.88624355708341,-4.33822868082647,-3.14864461395263,-5.59099164932183,-3.71918947242024,1.34535108651222,-0.57040602437241,-0.362560410237963,-1.82979153362827,1.45478492755768,-0.872492778026739,-1.40133690729541,-2.9168429998953,0.561741045382271,1.73382787361182,-0.946600750180461,-2.03564358783242,-2.54646921159841,-2.18979426765968,-1.11935285595826,-0.443497172508381,-1.08564179861595,-2.75777830526562,-0.833100376316079,1.26441714928809,-1.11365483484363,2.58371123314763,0.675259682252197,1.33214473169861,1.41025397274764,1.42292382548869,-1.20273446489732,-2.41293781897389,-1.05303021302719,-2.70061989142567,1.93410909680397,0.621614446429685,0.530404067378179,3.03361993886167,0.571269968728149,4.86132515363033,1.88463099379349,2.07030011023303,1.39187110214711,control
